"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Colorado"	"08"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	28	5601670	0.5
	"Colorado"	"08"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	247	5601670	4.4
	"Colorado"	"08"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	73	5601670	1.3
	"Colorado"	"08"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	189	5601670	3.4
	"Colorado"	"08"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	47	5601670	0.8
	"Colorado"	"08"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	30	5601670	0.5
	"Colorado"	"08"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	680	5601670	12.1
	"Colorado"	"08"	"65-74 years"	"65-74"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	11	38191	Unreliable
	"Colorado"	"08"	"65-74 years"	"65-74"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	15	103395	Unreliable
	"Colorado"	"08"	"65-74 years"	"65-74"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	22	71648	30.7
	"Colorado"	"08"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	10	118563	Unreliable
	"Colorado"	"08"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	11	118563	Unreliable
	"Colorado"	"08"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	15	118563	Unreliable
	"Colorado"	"08"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	58	118563	48.9
	"Colorado"	"08"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	24	108318	22.2
	"Colorado"	"08"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	26	108318	24.0
	"Colorado"	"08"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	22	108318	20.3
	"Colorado"	"08"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	62	108318	57.2
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	14	3658994	Unreliable
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	63	3658994	1.7
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	131	3658994	3.6
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	23	3658994	0.6
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	18	3658994	Unreliable
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	283	3658994	7.7
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	44	3658994	1.2
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	196	3658994	5.4
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	59	3658994	1.6
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	30	3658994	0.8
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	679	3658994	18.6
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	22	3339537	0.7
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	87	3339537	2.6
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	166	3339537	5.0
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	38	3339537	1.1
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	33	3339537	1.0
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	358	3339537	10.7
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	34	3339537	1.0
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	285	3339537	8.5
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	14	3339537	Unreliable
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	103	3339537	3.1
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	33	3339537	1.0
	"Colorado"	"08"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	965	3339537	28.9
	"Colorado"	"08"	"75-84 years"	"75-84"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	10	14973	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	12	11617	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	10	50993	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	28	50993	54.9
	"Colorado"	"08"	"75-84 years"	"75-84"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	12	33065	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	18	60610	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	10	60610	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	20	60610	33.0
	"Colorado"	"08"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	59	60610	97.3
	"Colorado"	"08"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	13	43688	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	16	43688	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	17	43688	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	63	43688	144.2
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	12	2084178	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	70	2084178	3.4
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	153	2084178	7.3
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	45	2084178	2.2
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	25	2084178	1.2
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	415	2084178	19.9
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with coma"	"E14.0"	13	2084178	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	25	2084178	1.2
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	268	2084178	12.9
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	18	2084178	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	100	2084178	4.8
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with other specified complications"	"E14.6"	12	2084178	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	30	2084178	1.4
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	950	2084178	45.6
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	13	1586444	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E10.5"	10	1586444	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	76	1586444	4.8
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	202	1586444	12.7
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	55	1586444	3.5
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	41	1586444	2.6
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	406	1586444	25.6
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	17	1586444	Unreliable
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	273	1586444	17.2
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	126	1586444	7.9
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	42	1586444	2.6
	"Colorado"	"08"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	964	1586444	60.8
	"Colorado"	"08"	"85+ years"	"85+"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	15	17667	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	11	22021	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	10	22021	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	14	22021	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	30	22021	136.2
	"Colorado"	"08"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	10	9834	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	16	9834	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	63	963373	6.5
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	140	963373	14.5
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	39	963373	4.0
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	22	963373	2.3
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	474	963373	49.2
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with coma"	"E14.0"	15	963373	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	15	963373	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	179	963373	18.6
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	71	963373	7.4
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	18	963373	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	917	963373	95.2
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	37	489022	7.6
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	123	489022	25.2
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	30	489022	6.1
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	18	489022	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	266	489022	54.4
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	172	489022	35.2
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	56	489022	11.5
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	21	489022	4.3
	"Colorado"	"08"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	542	489022	110.8
	"Connecticut"	"09"	"15-24 years"	"15-24"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	10	4211511	Unreliable
	"Connecticut"	"09"	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	14	3768357	Unreliable
	"Connecticut"	"09"	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	16	3768357	Unreliable
	"Connecticut"	"09"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	10	693142	Unreliable
	"Connecticut"	"09"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	12	595719	Unreliable
	"Connecticut"	"09"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	32	595719	5.4
	"Connecticut"	"09"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	10	4568468	Unreliable
	"Connecticut"	"09"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	43	4568468	0.9
	"Connecticut"	"09"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	26	4443834	0.6
	"Connecticut"	"09"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	12	4443834	Unreliable
	"Connecticut"	"09"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	29	4443834	0.7
	"Connecticut"	"09"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	88	4443834	2.0
	"Connecticut"	"09"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	16	619071	Unreliable
	"Connecticut"	"09"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	55	619071	8.9
	"Connecticut"	"09"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	12	527013	Unreliable
	"Connecticut"	"09"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	62	527013	11.8
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	27	5097785	0.5
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	24	5097785	0.5
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	21	5097785	0.4
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	13	5097785	Unreliable
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	16	5097785	Unreliable
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	145	5097785	2.8
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	50	4901999	1.0
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	39	4901999	0.8
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	29	4901999	0.6
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	28	4901999	0.6
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	23	4901999	0.5
	"Connecticut"	"09"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	339	4901999	6.9
	"Connecticut"	"09"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	13	440023	Unreliable
	"Connecticut"	"09"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	15	440023	Unreliable
	"Connecticut"	"09"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	19	440023	Unreliable
	"Connecticut"	"09"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	10	440023	Unreliable
	"Connecticut"	"09"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	100	440023	22.7
	"Connecticut"	"09"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	19	358031	Unreliable
	"Connecticut"	"09"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	31	358031	8.7
	"Connecticut"	"09"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	103	358031	28.8
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	10	4290098	Unreliable
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	35	4290098	0.8
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	16	4290098	Unreliable
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	73	4290098	1.7
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	22	4290098	0.5
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	42	4290098	1.0
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	37	4290098	0.9
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	354	4290098	8.3
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	62	4042250	1.5
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	22	4042250	0.5
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	127	4042250	3.1
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	23	4042250	0.6
	"Connecticut"	"09"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	75	4042250	1.9
